id,fila,columna,lat,lon,pendiente_grados,ndvi,humedad,viento_u,viento_v,prob_ignicion
e2bde768-20fa-4fcb-833f-af839a0b4d5a,12,49,-14.004867,-68.894722,30.9638,0.3772,0.3838,0.3246,-0.2576,0.0083
fe718302-15bd-4769-b015-7843b176b939,12,50,-14.004867,-68.890222,33.8627,0.3349,0.3838,0.3246,-0.2576,0.0419
3855e7cd-7f3a-41fe-8064-14284fc61734,12,51,-14.004867,-68.885722,20.098,0.3239,0.3838,0.3246,-0.2576,0.0085
e0ea1973-8e39-4bb7-8542-cbe2fdffb294,12,52,-14.004867,-68.881222,16.2287,0.2912,0.3838,0.3246,-0.2576,0.0462
aef84e2e-e484-487c-b62c-6393b4cf8974,12,53,-14.004867,-68.876722,26.4372,0.3188,0.3838,0.3246,-0.2576,0.009
918696ee-ee35-46db-b878-af21abb9c374,12,54,-14.004867,-68.872222,39.8955,0.3192,0.3838,0.3246,-0.2576,0.0459
cb50af94-256a-4484-923e-f34e5be211a9,12,55,-14.004867,-68.867722,17.8427,0.3301,0.3838,0.3246,-0.2576,0.0098
5c66c2ab-e4cb-49ce-abfd-8974edc85525,12,56,-14.004867,-68.863222,24.848,0.2999,0.3838,0.3246,-0.2576,0.0053
2dd83452-fd35-4616-8e2a-0e2e9fc91d8c,12,57,-14.004867,-68.858722,9.6462,0.3088,0.3838,0.3246,-0.2576,0.0035
916b783e-4707-4e35-b963-1ef57d12b2cb,12,58,-14.004867,-68.854222,13.6403,0.3256,0.3838,0.3246,-0.2576,0.0097
372077d6-67f6-4f7a-a29d-0f2386d3ae0a,12,59,-14.004867,-68.849722,31.2442,0.3151,0.3746,0.367,-0.275,0.0038
d786e877-5f93-496a-8086-be9333d6e412,12,60,-14.004867,-68.845222,22.7656,0.3339,0.3746,0.367,-0.275,0.0047
4154b36c-15eb-48cc-87c1-e79efb8858f1,12,61,-14.004867,-68.840722,15.07,0.3235,0.3746,0.367,-0.275,0.0019
5edc527a-0a91-46b8-b785-1670a9a221cc,12,62,-14.004867,-68.836222,24.4758,0.3295,0.3746,0.367,-0.275,0.0012
a27a13f7-dda1-4770-9b26-e9b56b929623,13,38,-14.009367,-68.944222,31.1384,0.3442,0.3838,0.3246,-0.2576,0.1678
d93f31d8-0fca-461a-9943-88e6449549cd,13,39,-14.009367,-68.939722,25.1979,0.3332,0.3838,0.3246,-0.2576,0.2892
00d87277-15d7-48cc-b180-1bde298eabe8,13,40,-14.009367,-68.935222,27.6131,0.3391,0.3838,0.3246,-0.2576,0.1136
